0,Mercedes
1,Ferrari
2,Red Bull Racing
3,Williams
4,Aston Martin
5,Alpine
6,Racing Bulls
7,Haas
8,McLaren
9,Sauber
41,F1 World
42,MyTeam
104,Mercedes 2020
106,Red Bull 2020
